"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2025","588.825","583.265","591.790","580.000","0,01K","0,95%"
"31.12.2024","583.265","576.922","599.000","573.000","0,03K","1,10%"
"30.12.2024","576.922","584.474","590.600","568.779","0,05K","-1,29%"
"29.12.2024","584.474","594.014","594.382","580.386","0,02K","-1,51%"
"28.12.2024","593.460","588.051","595.325","587.000","0,01K","0,92%"
"27.12.2024","588.051","594.124","605.600","581.000","0,04K","-1,02%"
"26.12.2024","594.124","620.383","624.795","591.355","0,04K","-4,23%"
"25.12.2024","620.383","615.380","621.546","610.000","0,02K","0,81%"
"24.12.2024","615.380","590.970","620.896","583.330","0,03K","4,13%"
"23.12.2024","590.970","586.351","596.991","577.000","0,05K","0,79%"
"22.12.2024","586.351","597.552","599.366","581.000","0,02K","-1,87%"
"21.12.2024","597.552","600.807","611.959","593.640","0,02K","-0,54%"
"20.12.2024","600.807","604.115","608.715","565.818","0,13K","-0,55%"
"19.12.2024","604.115","633.469","650.910","590.209","0,11K","-4,64%"
"18.12.2024","633.527","651.720","654.471","631.906","0,07K","-2,86%"
"17.12.2024","652.179","649.557","669.980","647.108","0,07K","0,40%"
"16.12.2024","649.557","634.161","656.667","626.450","0,08K","2,50%"
"15.12.2024","633.720","617.298","637.500","617.000","0,04K","2,66%"
"14.12.2024","617.298","614.275","619.685","612.590","0,02K","0,49%"
"13.12.2024","614.275","602.390","616.790","598.507","0,05K","1,97%"
"12.12.2024","602.390","606.960","614.990","592.922","0,06K","-0,75%"
"11.12.2024","606.960","588.403","610.606","583.258","0,07K","3,15%"
"10.12.2024","588.403","597.880","602.750","574.500","0,10K","-1,60%"
"09.12.2024","598.000","619.995","620.112","581.543","0,10K","-3,55%"
"08.12.2024","619.995","613.290","620.851","606.796","0,03K","1,09%"
"07.12.2024","613.290","608.284","616.036","606.000","0,02K","0,82%"
"06.12.2024","608.284","587.172","620.500","582.902","0,07K","3,60%"
"05.12.2024","587.172","595.092","621.500","572.000","0,17K","-1,33%"
"04.12.2024","595.092","582.258","599.500","573.494","0,09K","2,20%"
"03.12.2024","582.258","582.544","586.036","571.200","0,07K","-0,07%"
"02.12.2024","582.643","584.306","591.952","571.106","0,06K","-0,28%"
"01.12.2024","584.306","580.819","587.736","577.000","0,03K","0,60%"
"30.11.2024","580.819","583.326","584.987","576.555","0,02K","-0,43%"
"29.11.2024","583.326","570.500","590.111","568.897","0,08K","2,25%"
"28.11.2024","570.500","564.982","573.265","558.045","0,04K","0,98%"
"27.11.2024","564.982","536.791","574.164","535.659","0,10K","5,25%"
"26.11.2024","536.791","543.000","554.700","529.000","0,13K","-1,16%"
"25.11.2024","543.086","572.872","575.995","539.987","0,13K","-5,20%"
"24.11.2024","572.872","571.154","576.000","560.181","0,03K","0,30%"
"23.11.2024","571.154","577.300","577.890","569.490","0,04K","-1,06%"
"22.11.2024","577.300","572.685","580.800","568.000","0,09K","0,81%"
"21.11.2024","572.685","547.021","575.000","546.607","0,12K","4,69%"
"20.11.2024","547.021","537.054","549.999","532.280","0,05K","1,86%"
"19.11.2024","537.054","523.522","543.544","522.745","0,06K","2,58%"
"18.11.2024","523.522","525.738","536.500","518.000","0,09K","-0,42%"
"17.11.2024","525.738","529.257","534.005","519.786","0,02K","-0,66%"
"16.11.2024","529.257","529.134","535.000","526.270","0,03K","0,02%"
"15.11.2024","529.134","508.856","534.161","508.054","0,04K","3,99%"
"14.11.2024","508.856","528.313","535.000","504.503","0,10K","-3,68%"
"13.11.2024","528.313","508.659","545.000","500.003","0,14K","3,86%"
"12.11.2024","508.659","511.761","520.000","488.572","0,17K","-0,61%"
"11.11.2024","511.761","464.987","518.000","462.915","0,20K","10,06%"
"10.11.2024","464.987","442.964","470.000","441.364","0,10K","4,97%"
"09.11.2024","442.964","441.410","443.800","438.000","0,03K","0,35%"
"08.11.2024","441.410","432.092","444.600","430.425","0,05K","2,16%"
"07.11.2024","432.092","428.037","437.204","421.715","0,06K","0,95%"
"06.11.2024","428.037","401.215","438.884","401.207","0,20K","6,69%"
"05.11.2024","401.215","395.476","409.897","393.225","0,09K","1,45%"
"04.11.2024","395.476","406.811","408.731","390.000","0,11K","-2,79%"
"03.11.2024","406.811","410.346","410.777","401.372","0,03K","-0,86%"
"02.11.2024","410.346","409.440","411.745","408.000","0,01K","0,22%"
"01.11.2024","409.440","409.131","417.500","401.372","0,08K","0,08%"
"31.10.2024","409.131","417.000","419.320","405.000","0,06K","-1,89%"
"30.10.2024","417.000","414.393","419.325","409.101","0,05K","0,63%"
"29.10.2024","414.393","398.216","420.990","396.500","0,14K","4,06%"
"28.10.2024","398.216","391.085","399.856","388.373","0,07K","1,82%"
"27.10.2024","391.085","386.430","391.500","385.660","0,02K","1,20%"
"26.10.2024","386.430","383.125","387.142","381.500","0,01K","0,86%"
"25.10.2024","383.125","388.235","391.528","377.297","0,05K","-1,32%"
"24.10.2024","388.235","381.266","390.665","380.447","0,05K","1,83%"
"23.10.2024","381.266","385.017","385.308","373.001","0,06K","-0,97%"
"22.10.2024","385.017","385.429","387.500","380.854","0,05K","-0,11%"
"21.10.2024","385.429","395.000","397.239","381.829","0,07K","-2,42%"
"20.10.2024","395.000","390.645","396.858","389.684","0,03K","1,11%"
"19.10.2024","390.645","390.000","391.675","387.673","0,02K","0,17%"
"18.10.2024","390.000","382.597","392.181","380.611","0,06K","1,93%"
